zone workstations,critical segments,transfer stations,Svp
"[['WS9', 'WS10', 'WS7', 'WS6', 'WS3', 'WS15'], ['WS2', 'WS4', 'WS1', 'WS5'], ['WS14', 'WS18', 'WS16', 'WS13', 'WS12', 'WS17', 'WS11', 'WS8']]","[[['q', 'r'], ['r', 'Q', 'O', 'o'], ['n', 'o'], ['k', 'F', 'G', 'J', 'O', 'o'], ['w', 'X', 'Q', 'r']], [['j', 'B', 'C', 'D', 'l'], ['l', 'D', 'C', 'B', 'i'], ['m', 'H', 'I', 'E', 'A', 'i']], [['v', 'b', 'z'], ['v', 'b', 'a', 'Z', 'x'], ['v', 'W', 'V', 'u'], ['u', 'V', 'U', 't'], ['t', 'Z', 'a', 'y'], ['s', 'Y', 'Z', 'a', 'y'], ['p', 'R', 'S', 'T', 'U', 't']]]","[['WS2', 'WS5', 'WS4'], ['WS15', 'WS9', 'WS6', 'WS3'], []]",0.02140921364780887
"[['WS4', 'WS1', 'WS2', 'WS3', 'WS5', 'WS6', 'WS7'], ['WS12', 'WS13', 'WS8', 'WS10', 'WS9'], ['WS11', 'WS14', 'WS18', 'WS15', 'WS17', 'WS16']]","[[['l', 'D', 'C', 'B', 'i'], ['l', 'D', 'C', 'B', 'j'], ['k', 'F', 'j'], ['m', 'H', 'I', 'E', 'k'], ['n', 'N', 'M', 'I', 'E', 'k'], ['o', 'O', 'J', 'G', 'F', 'j']], [['t', 'U', 'V', 'u'], ['t', 'U', 'T', 'S', 'R', 'p'], ['u', 'V', 'W', 'X', 'Q', 'r'], ['p', 'R', 'S', 'P', 'q'], ['m', 'L', 'p'], ['o', 'O', 'Q', 'r'], ['n', 'N', 'M', 'L', 'p']], [['s', 'Y', 'Z', 'a', 'b', 'v'], ['v', 'b', 'z'], ['v', 'b', 'c', 'w'], ['z', 'b', 'a', 'y'], ['z', 'b', 'a', 'Z', 'x'], ['t', 'Z', 'x'], ['u', 'a', 'y'], ['r', 'Q', 'X', 'w'], ['q', 'P', 'S', 'T', 's'], ['p', 'R', 'S', 'T', 's']]]","[['WS5', 'WS7', 'WS6'], [], ['WS12', 'WS13', 'WS10', 'WS9', 'WS8']]",0.4887886890338575
"[['WS8', 'WS6', 'WS5', 'WS7', 'WS11'], ['WS2', 'WS4', 'WS1', 'WS3'], ['WS15', 'WS18', 'WS9', 'WS14', 'WS10', 'WS13', 'WS17', 'WS16', 'WS12']]","[[['p', 'L', 'M', 'N', 'n'], ['n', 'N', 'M', 'L', 'm'], ['o', 'n', 'N', 'M', 'L', 'm'], ['s', 'T', 'S', 'P', 'N', 'n'], ['m', 'H', 'I', 'E', 'k'], ['o', 'O', 'J', 'K', 'l'], ['o', 'O', 'J', 'G', 'F', 'j'], ['s', 'Y', 'Z', 'x'], ['s', 'T', 'U', 't'], ['s', 'Y', 'Z', 'a', 'y'], ['s', 'T', 'S', 'P', 'q'], ['s', 'T', 'U', 'V', 'u'], ['s', 'Y', 'Z', 'a', 'b', 'z'], ['s', 'T', 'U', 'V', 'W', 'v']], [['j', 'B', 'C', 'D', 'l'], ['l', 'D', 'C', 'B', 'i'], ['k', 'E', 'A', 'i']], [['w', 'c', 'b', 'z'], ['q', 'r', 'Q', 'X', 'W', 'v'], ['r', 'Q', 'X', 'W', 'V', 'u'], ['w', 'X', 'Q', 'r'], ['q', 'r'], ['y', 'a', 'b', 'z'], ['x', 'Z', 'a', 'b', 'c', 'w'], ['t', 'Z', 'x']]]","[['WS3', 'WS4', 'WS2'], ['WS16', 'WS12', 'WS17', 'WS9', 'WS13', 'WS18', 'WS14'], []]",0.002376043839899846
"[['WS17', 'WS12', 'WS13', 'WS18', 'WS16', 'WS11', 'WS14', 'WS15', 'WS9'], ['WS1', 'WS2', 'WS4', 'WS7', 'WS10'], ['WS3', 'WS8', 'WS6', 'WS5']]","[[['y', 'a', 'Z', 't'], ['y', 'a', 'u'], ['y', 'a', 'b', 'z'], ['u', 'a', 'Z', 'x'], ['t', 'U', 'T', 's'], ['x', 'Z', 'a', 'b', 'v'], ['w', 'X', 'W', 'V', 'U', 't'], ['q', 'P', 'S', 'T', 'U', 't']], [['i', 'B', 'j'], ['j', 'B', 'C', 'D', 'l'], ['j', 'F', 'G', 'J', 'O', 'o'], ['o', 'O', 'Q', 'r'], ['q', 'r'], ['w', 'X', 'Q', 'r'], ['v', 'W', 'X', 'Q', 'r'], ['s', 'T', 'S', 'P', 'q', 'r'], ['u', 'V', 'W', 'X', 'Q', 'r'], ['z', 'b', 'c', 'w', 'X', 'Q', 'r']], [['k', 'E', 'I', 'M', 'L', 'p'], ['k', 'E', 'I', 'M', 'N', 'n'], ['n', 'N', 'M', 'L', 'm'], ['o', 'n'], ['i', 'A', 'E', 'k'], ['r', 'Q', 'O', 'o', 'n']]]","[['WS9', 'WS15', 'WS14', 'WS11', 'WS13', 'WS18'], [], ['WS7', 'WS1', 'WS10']]",0.06272030029995208
"[['WS8', 'WS6', 'WS9', 'WS7'], ['WS14', 'WS11', 'WS13', 'WS16', 'WS18', 'WS12', 'WS17', 'WS15', 'WS10'], ['WS1', 'WS4', 'WS3', 'WS2', 'WS5']]","[[['p', 'L', 'M', 'N', 'n'], ['q', 'P', 'N', 'n'], ['o', 'n', 'N', 'M', 'L', 'p'], ['q', 'r'], ['q', 'P', 'S', 'T', 'U', 't'], ['q', 'r', 'Q', 'X', 'w'], ['q', 'P', 'S', 'T', 'U', 'V', 'u'], ['p', 'L', 'm'], ['o', 'O', 'J', 'K', 'l'], ['o', 'O', 'J', 'G', 'F', 'j'], ['o', 'O', 'J', 'G', 'F', 'k']], [['v', 'W', 'V', 'U', 'T', 's'], ['v', 'W', 'V', 'u'], ['s', 'Y', 'Z', 'x'], ['z', 'b', 'a', 'Z', 't'], ['s', 'Y', 'Z', 'a', 'y'], ['v', 'b', 'z'], ['w', 'c', 'b', 'z'], ['r', 'Q', 'X', 'W', 'v']], [['i', 'B', 'C', 'D', 'l'], ['k', 'E', 'A', 'i'], ['j', 'B', 'i'], ['m', 'H', 'I', 'E', 'A', 'i']]]","[['WS10', 'WS12', 'WS15', 'WS13'], ['WS5', 'WS4', 'WS2', 'WS3'], []]",0.004944363141922651
"[['WS9', 'WS10', 'WS6', 'WS5', 'WS7', 'WS4'], ['WS2', 'WS3', 'WS1'], ['WS12', 'WS13', 'WS17', 'WS16', 'WS11', 'WS8', 'WS18', 'WS15', 'WS14']]","[[['q', 'r'], ['q', 'P', 'N', 'n'], ['q', 'P', 'N', 'M', 'L', 'm'], ['n', 'o'], ['l', 'K', 'J', 'O', 'o']], [['j', 'F', 'k'], ['j', 'B', 'i'], ['m', 'H', 'I', 'E', 'k'], ['l', 'D', 'C', 'B', 'i']], [['t', 'U', 'V', 'u'], ['u', 'a', 'y'], ['y', 'a', 'Z', 'x'], ['y', 'a', 'Z', 'Y', 's'], ['t', 'U', 'T', 'S', 'R', 'p'], ['s', 'Y', 'Z', 'a', 'b', 'z'], ['w', 'c', 'b', 'a', 'Z', 'x'], ['v', 'W', 'V', 'U', 't'], ['m', 'L', 'p'], ['r', 'Q', 'X', 'w']]]","[['WS5', 'WS4'], ['WS5', 'WS10'], []]",0.019559414325561623
"[['WS8', 'WS9', 'WS10', 'WS5', 'WS11', 'WS12'], ['WS3', 'WS2', 'WS4', 'WS7', 'WS1', 'WS6'], ['WS16', 'WS13', 'WS14', 'WS17', 'WS18', 'WS15']]","[[['p', 'R', 'S', 'P', 'q'], ['r', 'q', 'P', 'S', 'R', 'p'], ['m', 'L', 'p'], ['s', 'T', 'S', 'P', 'q', 'r'], ['t', 'U', 'T', 'S', 'R', 'p']], [['k', 'F', 'j'], ['l', 'D', 'C', 'B', 'j'], ['o', 'O', 'J', 'G', 'F', 'j'], ['i', 'B', 'j'], ['n', 'N', 'M', 'I', 'E', 'k'], ['m', 'L', 'M', 'N', 'n'], ['r', 'Q', 'O', 'o'], ['s', 'T', 'S', 'P', 'N', 'n']], [['x', 'Z', 'a', 'u'], ['x', 'Z', 'a', 'b', 'v'], ['u', 'a', 'y'], ['v', 'b', 'z'], ['w', 'c', 'b', 'a', 'Z', 'x'], ['t', 'Z', 'x'], ['s', 'Y', 'Z', 'x'], ['o', 'O', 'Q', 'X', 'w']]]","[['WS5', 'WS10', 'WS11'], ['WS12', 'WS11'], ['WS7']]",0.10419555177521458
"[['WS1', 'WS4', 'WS7', 'WS2', 'WS3', 'WS15'], ['WS6', 'WS8', 'WS9', 'WS10', 'WS5', 'WS11'], ['WS17', 'WS16', 'WS14', 'WS12', 'WS18', 'WS13']]","[[['i', 'B', 'C', 'D', 'l'], ['l', 'K', 'J', 'O', 'o'], ['i', 'B', 'j'], ['i', 'A', 'E', 'k'], ['w', 'X', 'Q', 'O', 'o'], ['o', 'n'], ['w', 'X', 'Q', 'r'], ['k', 'E', 'I', 'H', 'm']], [['n', 'N', 'M', 'L', 'p'], ['p', 'R', 'S', 'P', 'q'], ['p', 'R', 'S', 'P', 'q', 'r'], ['m', 'L', 'M', 'N', 'n'], ['s', 'T', 'S', 'R', 'p']], [['y', 'a', 'Z', 'x'], ['y', 'a', 'b', 'v'], ['y', 'a', 'Z', 't'], ['v', 'b', 'z'], ['u', 'a', 'Z', 'x'], ['w', 'c', 'b', 'z'], ['s', 'Y', 'Z', 'x'], ['r', 'q', 'P', 'S', 'T', 'U', 't']]]","[['WS6', 'WS10', 'WS5'], ['WS15'], ['WS11', 'WS10']]",0.08268803582935305
"[['WS14', 'WS15', 'WS17', 'WS18', 'WS16', 'WS10'], ['WS9', 'WS8', 'WS7', 'WS6', 'WS12', 'WS13', 'WS11', 'WS5'], ['WS2', 'WS3', 'WS1', 'WS4']]","[[['v', 'b', 'c', 'w'], ['v', 'b', 'a', 'y'], ['v', 'b', 'z'], ['x', 'Z', 'a', 'b', 'z'], ['r', 'Q', 'X', 'w'], ['r', 'q'], ['y', 'a', 'u'], ['x', 'Z', 't'], ['x', 'Z', 'Y', 's'], ['r', 'Q', 'O', 'o']], [['q', 'P', 'S', 'R', 'p'], ['p', 'L', 'M', 'N', 'n', 'o'], ['q', 'P', 'N', 'n'], ['p', 'R', 'S', 'T', 'U', 't'], ['t', 'U', 'V', 'u'], ['s', 'T', 'S', 'P', 'N', 'n'], ['m', 'L', 'p']], [['j', 'F', 'k'], ['j', 'B', 'i'], ['l', 'D', 'C', 'B', 'j'], ['m', 'H', 'I', 'E', 'k'], ['o', 'n', 'N', 'M', 'I', 'E', 'k']]]","[['WS9', 'WS13', 'WS12', 'WS11', 'WS7'], [], ['WS5', 'WS7']]",0.4617114915003065
"[['WS4', 'WS1', 'WS2', 'WS3'], ['WS18', 'WS13', 'WS17', 'WS15', 'WS12', 'WS16'], ['WS11', 'WS10', 'WS9', 'WS14', 'WS8', 'WS5', 'WS6', 'WS7']]","[[['i', 'B', 'C', 'D', 'l'], ['j', 'B', 'C', 'D', 'l'], ['k', 'F', 'j'], ['k', 'E', 'I', 'H', 'm'], ['l', 'K', 'J', 'O', 'o'], ['k', 'E', 'I', 'M', 'L', 'p']], [['z', 'b', 'a', 'u'], ['u', 'a', 'y'], ['z', 'b', 'c', 'w'], ['t', 'Z', 'a', 'y'], ['x', 'Z', 'a', 'u'], ['z', 'b', 'v'], ['x', 'Z', 'Y', 's'], ['w', 'X', 'Q', 'r'], ['t', 'U', 'T', 'S', 'R', 'p'], ['t', 'U', 'T', 'S', 'P', 'N', 'n', 'o']], [['s', 'T', 'S', 'P', 'q', 'r'], ['s', 'T', 'S', 'P', 'q'], ['s', 'T', 'U', 'V', 'W', 'v'], ['p', 'R', 'S', 'P', 'q', 'r'], ['m', 'L', 'M', 'N', 'P', 'q'], ['n', 'N', 'P', 'S', 'T', 's'], ['o', 'n', 'N', 'M', 'L', 'm']]]","[[], ['WS5', 'WS7', 'WS8'], ['WS14', 'WS11', 'WS10', 'WS8', 'WS7']]",0.4890245907461465
"[['WS4'], ['WS16', 'WS17', 'WS12', 'WS13', 'WS18', 'WS15', 'WS7', 'WS10'], ['WS5', 'WS9', 'WS1', 'WS6', 'WS2', 'WS3', 'WS8', 'WS11', 'WS14']]","[[['l', 'K', 'J', 'O', 'o']], [['x', 'Z', 'a', 'y'], ['x', 'Z', 't'], ['x', 'Z', 'a', 'u'], ['t', 'Z', 'a', 'b', 'z'], ['w', 'c', 'b', 'a', 'Z', 'x'], ['o', 'O', 'Q', 'X', 'w'], ['r', 'Q', 'X', 'w'], ['o', 'n'], ['r', 'q'], ['z', 'b', 'v'], ['x', 'Z', 'Y', 's'], ['t', 'U', 'T', 'S', 'R', 'p'], ['o', 'n', 'N', 'M', 'I', 'E', 'k']], [['m', 'L', 'M', 'N', 'P', 'q'], ['i', 'A', 'E', 'I', 'H', 'm'], ['n', 'N', 'M', 'L', 'm'], ['j', 'B', 'i'], ['k', 'F', 'j'], ['p', 'R', 'S', 'P', 'q'], ['s', 'T', 'S', 'P', 'q'], ['v', 'W', 'V', 'U', 'T', 's']]]","[['WS7'], [], ['WS6', 'WS9', 'WS14', 'WS11', 'WS8', 'WS3']]",0.5446783650701534
"[['WS1', 'WS2', 'WS4', 'WS3', 'WS7'], ['WS13', 'WS15', 'WS18', 'WS14', 'WS12', 'WS17', 'WS10'], ['WS11', 'WS8', 'WS16', 'WS5', 'WS6', 'WS9']]","[[['i', 'B', 'j'], ['i', 'B', 'C', 'D', 'l'], ['i', 'A', 'E', 'k'], ['o', 'O', 'J', 'G', 'F', 'k']], [['u', 'V', 'W', 'X', 'w'], ['u', 'a', 'b', 'z'], ['w', 'X', 'W', 'v'], ['u', 'V', 'U', 't'], ['v', 'b', 'a', 'y'], ['r', 'Q', 'X', 'W', 'V', 'u']], [['s', 'T', 'S', 'R', 'p'], ['x', 'Z', 'Y', 's'], ['s', 'T', 'S', 'P', 'N', 'M', 'L', 'm'], ['n', 'N', 'P', 'S', 'T', 's'], ['q', 'P', 'N', 'M', 'L', 'm']]]","[['WS10', 'WS15'], ['WS6', 'WS5', 'WS8', 'WS9'], ['WS10', 'WS12', 'WS17', 'WS18', 'WS15']]",0.05050147911324063
"[['WS14', 'WS18', 'WS15', 'WS16', 'WS17', 'WS12', 'WS10'], ['WS5', 'WS8', 'WS6', 'WS9', 'WS13', 'WS11'], ['WS2', 'WS7', 'WS1', 'WS4', 'WS3']]","[[['v', 'b', 'z'], ['v', 'W', 'X', 'w'], ['v', 'b', 'a', 'Z', 'x'], ['z', 'b', 'a', 'y'], ['t', 'Z', 'x'], ['r', 'Q', 'X', 'w']], [['m', 'L', 'p'], ['n', 'N', 'M', 'L', 'm'], ['q', 'P', 'S', 'R', 'p'], ['q', 'P', 'S', 'T', 'U', 'V', 'u'], ['s', 'T', 'U', 'V', 'u']], [['j', 'F', 'G', 'J', 'O', 'o'], ['j', 'B', 'i'], ['j', 'B', 'C', 'D', 'l'], ['k', 'F', 'j']]]","[['WS10', 'WS17', 'WS18', 'WS16', 'WS12', 'WS15'], ['WS10', 'WS15'], ['WS6', 'WS5', 'WS9']]",0.02489765608625859
"[['WS3', 'WS1', 'WS2', 'WS4', 'WS7'], ['WS11', 'WS9', 'WS8', 'WS13', 'WS5', 'WS6'], ['WS17', 'WS16', 'WS14', 'WS18', 'WS12', 'WS15', 'WS10']]","[[['k', 'E', 'A', 'i'], ['i', 'B', 'j'], ['l', 'D', 'C', 'B', 'i'], ['o', 'O', 'J', 'G', 'F', 'k']], [['s', 'T', 'S', 'P', 'q'], ['q', 'P', 'S', 'R', 'p'], ['u', 'V', 'U', 'T', 'S', 'P', 'q'], ['m', 'L', 'M', 'N', 'P', 'q'], ['n', 'N', 'M', 'L', 'm']], [['x', 'Z', 'a', 'y'], ['v', 'b', 'a', 'y'], ['z', 'b', 'a', 'Z', 'x'], ['t', 'Z', 'a', 'y'], ['w', 'c', 'b', 'a', 'y'], ['r', 'Q', 'X', 'w']]]","[['WS6', 'WS5', 'WS8', 'WS9'], ['WS10'], ['WS10', 'WS17', 'WS16', 'WS18', 'WS12', 'WS14']]",0.024897656086258668
